LATITUDE,LONGITUDE
57.67363,-162.12356
57.99027,-162.11432
59.31723,-165.30361
59.84794,-172.26119
60.29975,-173.37707
57.67485,-162.76628
58.68887,-167.22271
59.32009,-164.63701
59.32245,-171.82215
60.31175,-169.33586
60.31603,-167.98444
58.32395,-162.72951
58.32796,-162.09587
58.69331,-164.63292
59.32903,-167.23938
59.67915,-170.55794
59.68026,-169.27077
60.00001,-173.2415
60.33519,-169.25992
60.33855,-174.04539
61.65893,-174.37425
60.00405,-170.58407
60.00441,-168.64502
61.68091,-175.08428
61.98907,-173.74044
60.00543,-169.28502
60.64289,-172.1182
60.65415,-171.43029
60.65435,-173.47616
61.99944,-175.79466
61.99972,-175.15626
